用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:10访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:10处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:13访问了页面Home/User/index
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:13处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:19访问了页面Home/User/promotionList
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:19处理了数据：POST数据:"uid"=>"5""mid"=>"0""page_name"=>"channelManagement""table"=>"user""page"=>"1""start_year"=>""--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:34访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:34处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:59访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:37:59处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:39:02访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:39:03处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:42:04访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:42:05处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:42:38访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:42:39处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:43:15访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:43:16处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:21访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:22处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:24访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:24处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:25访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:26处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:26访问了页面Home/User/channelManagement
用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:27处理了数据：POST数据:"page_name"=>"channelManagement""search"=>"""table"=>"user""page"=>"1"--------\n用户yejianwei[17,IP:127.0.0.1]于2017-10-25 17:44:28访问了页面Home/User/channelManagement
